,edge_id
WayPoint69_WayPoint70,467
WayPoint70_WayPoint71,456
WayPoint72_WayPoint71,408
WayPoint71_WayPoint70,396
WayPoint68_WayPoint69,356
WayPoint71_WayPoint72,350
WayPoint73_WayPoint72,334
WayPoint75_WayPoint68,301
WayPoint70_WayPoint69,284
WayPoint69_WayPoint68,271
WayPoint53_WayPoint46,271
WayPoint39_WayPoint46,251
WayPoint46_WayPoint53,250
WayPoint74_WayPoint67,246
WayPoint53_WayPoint60,246
WayPoint60_WayPoint67,245
WayPoint60_WayPoint53,227
WayPoint81_WayPoint74,198
WayPoint82_WayPoint75,189
WayPoint67_WayPoint60,188
WayPoint108_WayPoint109,188
WayPoint102_WayPoint109,185
WayPoint67_WayPoint74,184
WayPoint68_WayPoint75,160
WayPoint109_WayPoint102,156
WayPoint72_WayPoint73,155
WayPoint74_WayPoint73,152
WayPoint95_WayPoint102,144
WayPoint107_WayPoint108,140
WayPoint109_WayPoint108,140
WayPoint110_WayPoint68,131
WayPoint112_WayPoint82,130
WayPoint102_WayPoint95,127
WayPoint111_WayPoint75,126
WayPoint95_WayPoint88,116
WayPoint46_WayPoint39,104
WayPoint75_WayPoint82,98
WayPoint32_WayPoint39,98
WayPoint94_WayPoint95,84
WayPoint89_WayPoint82,83
WayPoint68_WayPoint61,80
WayPoint61_WayPoint54,80
WayPoint108_WayPoint107,73
WayPoint106_WayPoint107,70
WayPoint61_WayPoint68,69
WayPoint81_WayPoint88,68
WayPoint88_WayPoint95,63
WayPoint52_WayPoint53,60
WayPoint49_WayPoint50,60
WayPoint54_WayPoint47,60
WayPoint47_WayPoint48,60
WayPoint51_WayPoint52,60
WayPoint50_WayPoint51,60
WayPoint48_WayPoint49,60
WayPoint113_WayPoint89,59
WayPoint114_WayPoint96,59
WayPoint88_WayPoint81,57
WayPoint93_WayPoint94,56
WayPoint101_WayPoint102,55
WayPoint90_WayPoint91,46
WayPoint89_WayPoint90,46
WayPoint96_WayPoint89,46
WayPoint91_WayPoint92,46
WayPoint39_WayPoint32,44
WayPoint25_WayPoint32,40
WayPoint82_WayPoint89,39
WayPoint74_WayPoint81,38
WayPoint87_WayPoint88,37
WayPoint92_WayPoint93,33
WayPoint98_WayPoint99,26
WayPoint96_WayPoint97,26
WayPoint99_WayPoint100,26
WayPoint97_WayPoint98,26
WayPoint95_WayPoint94,23
WayPoint56_WayPoint57,20
WayPoint54_WayPoint55,20
WayPoint57_WayPoint58,20
WayPoint58_WayPoint59,20
WayPoint55_WayPoint56,20
WayPoint89_WayPoint96,15
WayPoint100_WayPoint101,13
WayPoint83_WayPoint84,11
WayPoint84_WayPoint85,11
WayPoint82_WayPoint83,11
WayPoint85_WayPoint86,11
WayPoint105_WayPoint106,2
WayPoint104_WayPoint105,2
WayPoint103_WayPoint104,2
WayPoint96_WayPoint103,2
